TrainCategory,TrainID,Route
RØ,4283,[HG - SQ - GÆ - HUM - NI - OK - RU - VB - SÅ - KL - HL - HGL - KK - KN - KH]
RØ,2229,[HG - SQ - GÆ - HUM - NI - OK - RU - VB - SÅ - KL - HL - HGL - KK - KN - KH - VAL - HIF - HTÅ - HH - TRK - RO - VY - BO - KY - RG - GZ - NÆ]
IC,818,[ES - JNE - BM - GØ - VN - LK - KD - TL - MD - KA - OD - MV - NG - SPR - KØ - FO - SG - SO - FJ - RG - ADA - KJN - JSF - NEL - GB - KH - KN - KK - HGL]
RV,4737,[OD - HP - TP - SC - AP - GD - EB - NA - KA - MD - SNO - FA]
M,7098,[AR - KGV - FA]
IC,101,[KH - VAL - HIF - HTÅ - HH - RO - VY - RG - FJ - SO - SG - FO - KØ - SPR - NG - JU - OD - HP - MD - SNO - FA - BK - VJ - HED - HS - HÅ - SD - HX - AR]
IC,227,[CPH - TÅT - ØRE - KLV - NEL - IG - HTÅ - HH - TRK - RO - VY - RG - FJ - SO - SG - FO - NG - JU - OD]
RV,2320,[FA - TL - KD - LK - VN - BP - HQ - GØ - BM - TB - ES]
IC,2321,[ES - JNE - BM - GØ - HQ - BP - VN - LK - KD - TL - FA]
IC,2333,[ES - JNE - BM - GØ - HQ - BP - VN - LK - KD - TL - FA]
RØ,4536,[HK - PE - TØ - HV - LJ - RO - TRK - HH - HTÅ - GL - VAL - KH - KN - KK - HGL - HL - KL - SÅ - VB - RU - OK - NI - HUM - GÆ - SQ - HG]
IC,1493,[CPH - TÅT - KH]
IC,172,[FA - SNO - MD - KA - OD - MV - LV - UV - NG - SPR - KØ - FO - SG - SO - FJ - RG - KY - RO - TRK - HTÅ - GL - VAL - KH]
IC,4145,[AR - BR - HA - LG - RD - FP - HB - AD - SØ - SR - AB - ABV - LIH - ABL]
L,19,[CPH - TÅT - KH - GB - OD - HP - FA - BK - VJ - HED - HS - HÅ - SD - HX - AR]
RØ,218,[SG - SO - FJ - RG - KY - RO - TRK - HH - HTÅ - GL - NEL - KLV - ØRE - TÅT - CPH]
L,967,[FA - TL - KD - LK - VM - FZ - OJ - RQ - TE - KW - GST - SDB]
IC,4172,[ABL - LIH - ABV - AB - OG - SØ - AD - HB - FP - RD - LG - HA - HN - AR]
IC,5754,[FLB - AHAL - PA - VK - TE - RQ - OJ - SST - VM - LK - KD - TL - FA]
IC,2361,[ES - JNE - BM - GØ - HQ - BP - VN - LK - KD - TL - FA]
RØ,2447,[KK - KN - KH - GB - NEL - IG - KJN - ØLB - KJ - HF - TH - HZ - OL - NÆN - NÆ]
RØ,2575,[HG - SQ - GÆ - HUM - NI - OK - RU - VB - SÅ - KL - HL - HGL - KK - KN - KH - VAL - HIF - HTÅ - HH - TRK - RO - LJ - HV - TØ - PE - HK]
RØ,4247,[HG - SQ - GÆ - HUM - NI - OK - RU - VB - SÅ - KL - HL - HGL - KK - KN - KH - VAL - HIF - HTÅ - HH - TRK - RO - VY - BO - KY - RG - GZ - NÆ]
IC,100,[OD - MV - LV - UV - NG - SPR - KØ - FO - SG - SO - FJ - RG - KY - RO - TRK - HTÅ - GL - VAL - KH - KN - KK]
IC,449,[FA - BK - VJ - HED - HS - HÅ - SD - HX - AR]
RØ,2240,[NÆ - GZ - RG - KY - BO - VY - RO - TRK - HH - HTÅ - GL - VAL - KH - KN - KK - HGL - HL - KL - SÅ - VB - RU - OK - NI - HUM - GÆ - SQ - HG]
L,27,[CPH - TÅT - KH - GB - OD - HP - FA - BK - VJ - HED - HS - HÅ - SD - HX - AR]
RV,2765,[OD - HP - TP - SC - BD - AP - GD - EB - NA - KA - MD - SNO - FA]
RØ,243,[CPH - TÅT - ØRE - KLV - NEL - IG - HTÅ - HH - TRK - RO - VY - RG - FJ - SO - SG]
RV,2759,[OD - HP - TP - SC - BD - AP - GD - EB - NA - KA - MD - SNO - FA]
RØ,2221,[KH - VAL - HIF - HTÅ - HH - TRK - RO - VY - BO - KY - RG - GZ - NÆ]
RØ,4402,[NÆ - NÆN - OL - HZ - TH - HF - KJ - ØLB - KJN - JSF - NEL - GB - KH]
M,6459,[HGL - KK]
RØ,287,[CPH - TÅT - ØRE - KLV - NEL - IG - HTÅ - HH - TRK - RO]
M,9785,[HGL - KK - KH - BAN - CPH]
RØ,4837,[NÆ - MOG - LU - VO - MN - NV - EK - TN - NF]
RV,2974,[FA - TL - KD]
RØ,4279,[HG - SQ - GÆ - HUM - NI - OK - RU - VB - SÅ - KL - HL - HGL - KK - KN - KH - VAL - HIF - HTÅ - HH - TRK - RO]
L,722,[STR - HM - HO - TS - UU - ID - IB - GP - HR - KE - BB - TY - GW - GG - JL - GES - VJS - VJ - BET - FA]
RØ,2232,[NÆ - GZ - RG - KY - BO - VY - RO - TRK - HH - HTÅ - GL - VAL - KH - KN - KK - HGL - HL - KL - SÅ - VB - RU - OK - NI - HUM - GÆ - SQ - HG]
IC,867,[HGL - KK - KN - KH - GB - NEL - IG - KJN - LEL - RG - FJ - SO - SG - FO - KØ - SPR - NG - JU - OD - HP - MD - SNO - KD - LK - VN - BP - BM - TB - ES]
RØ,2487,[KK - KN - KH - GB - NEL - IG - KJN - ØLB - KJ - HF - TH - HZ - OL - NÆN - NÆ]
IC,468,[AR - KGV - SD - HÅ - HS - HED - VJ - BET - FA]
RØ,226,[SG - SO - FJ - RG - KY - RO - TRK - HH - HTÅ - GL - NEL - KLV - ØRE - TÅT - CPH]
RØ,2506,[HK - PE - TØ - HV - LJ - RO - TRK - HH - HTÅ - GL - VAL - KH - KN - KK - HGL - HL - KL - SÅ - VB - RU - OK - NI - HUM - GÆ - SQ - HG]
RØ,2257,[HG - SQ - GÆ - HUM - NI - OK - RU - VB - SÅ - KL - HL - HGL - KK - KN - KH - VAL - HIF - HTÅ - HH - TRK - RO - VY - BO - KY - RG - GZ - NÆ]
L,10,[AR - KGV - SD - HÅ - HS - HED - VJ - BET - FA - SNO - OD - MV - KH - BAN - CPH]
RV,2325,[ES - JNE - BM - GØ - HQ - BP - VN - LK - KD - TL - FA]
RØ,4817,[NÆ - MOG - LU - VO - MN - NV - EK - TN - NF]
RØ,2542,[HK - PE - TØ - HV - LJ - RO - TRK - HH - HTÅ - GL - VAL - KH - KN - KK - HGL - HL - KL - SÅ - VB - RU - OK - NI - HUM - GÆ - SQ - HG]
IC,5762,[FLB - AHAL - PA - VK - TE - RQ - OJ - SST - VM - LK - KD - TL - FA]
RØ,1240,[NF - TN - VO - LU - NÆ - GZ - RG - ADA - NEL - GB - KH]
IC,847,[HGL - KK - KN - KH - GB - NEL - IG - KJN - LEL - RG - FJ - SO - SG - FO - KØ - SPR - NG - JU - OD - HP - MD - SNO - KD - LK - VN - BP - BM - TB - ES]
RØ,2559,[HG - SQ - GÆ - HUM - NI - OK - RU - VB - SÅ - KL - HL - HGL - KK - KN - KH - VAL - HIF - HTÅ - HH - TRK - RO - LJ - HV - TØ - PE - HK]
RØ,4816,[NF - TN - EK - NV - OH - VO - LU - MOG - NÆ]
IC,117,[KH - VAL - HIF - HTÅ - HH - RO - VY - RG - FJ - SO - SG - FO - KØ - SPR - NG - JU - LV - MV - OD - HP - MD - SNO - FA]
RØ,1545,[KK - KN - KH - VAL - HTÅ - HH - RO - LJ - HK - RT - KS - MØ - JY - SE - VÆ - KBØ - KB]
RØ,2443,[KK - KN - KH - GB - NEL - IG - KJN - ØLB - KJ - HF - TH - HZ - OL - NÆN - NÆ]
RV,3922,[AR - KGV - VI - HC - SD - HÅ - HS - HED - VJ - BET - BK - FA]
RØ,2291,[KH - VAL - HIF - HTÅ - HH - TRK - RO - VY - BO - KY - RG - GZ - NÆ]
