TrainCategory,TrainId,FromStation,DepartureFromStation,ToStation,ArrivalToStation,Demand,Distance_KM,Electrified,GGVId
RØ,3471_2471,HG/86,1044,KH/86,1094,62,46.2,true,-1
RØ,3471_2471,KH/86,1097,NÆ/86,1162,88,79.2,true,-1
RØ,3473_4473,HG/86,1074,KH/86,1124,60,46.2,true,-1
RØ,3473_4473,KH/86,1127,NÆ/86,1192,59,79.2,true,-1
RØ,3475_2475,HG/86,1104,KH/86,1154,41,46.2,true,-1
RØ,3475_2475,KH/86,1157,NÆ/86,1222,71,79.2,true,-1
RØ,3502,KB/86,303,KK/86,391,133,113.7,false,3502_4425
RØ,3506,KB/86,359,KK/86,451,241,113.7,false,-1
RØ,3510,KB/86,419,KK/86,511,370,113.7,false,-1
RØ,3523,KK/86,386,KB/86,474,108,113.7,false,-1
RØ,3542,KB/86,907,KK/86,994,212,113.7,false,-1
RØ,3546,KB/86,967,KK/86,1054,142,113.7,false,-1
RØ,3555,KK/86,866,KB/86,960,206,113.7,false,-1
RØ,3559,KK/86,926,KB/86,1020,343,113.7,false,-1
RØ,3563,KK/86,986,KB/86,1080,361,113.7,false,-1
L,35_4035,CPH/86,566,FA/86,694,237,230.2,true,35_4035_935
L,35_4035,FA/86,698,VJ/86,711,160,25.7,false,35_4035_935
L,35_4035,VJ/86,713,AR/86,758,146,82.8,false,35_4035_935
L,35_4035,AR/86,765,ABL/86,848,72,145.3,false,35_4035_935
RØ,3802_4204,NF/86,283,VO/86,304,8,28.8,false,-1
RØ,3802_4204,VO/86,310,HG/86,452,222,164.3,true,-1
RØ,3810,NF/86,403,NÆ/86,442,47,56.2,false,1533_2412_3810_4210
RØ,3859,NÆ/86,998,NF/86,1037,50,56.2,false,1536_2459_3859_4259
RØ,3863,NÆ/86,1058,NF/86,1097,49,56.2,false,3463_2463_3863_4263
RV,3918_2720,AR/86,424,FA/86,492,153,108.5,false,-1
RV,3918_2720,FA/86,510,OD/86,564,27,60.3,true,-1
