TripId,TrainCategory,TrainId,FromStation,ToStation,Departure,Arrival,Demand,Distance,Composition
97,L,46,AR/86,VJ/86,860,904,247,82.8,2xICA
98,L,46,VJ/86,FA/86,906,921,264,25.7,2xICA
99,L,46,FA/86,CPH/86,927,1052,409,230.2,1xEB15Talgo
102,L,47,CPH/86,FA/86,746,874,365,230.2,1xEB4DD
103,L,47,FA/86,VJ/86,878,891,383,25.7,3xICA
104,L,47,VJ/86,AR/86,893,938,305,82.8,3xICA
107,L,50,AR/86,VJ/86,920,964,306,82.8,3xICA
108,L,50,VJ/86,FA/86,966,981,360,25.7,3xICA
109,L,50,FA/86,CPH/86,987,1112,494,230.2,1xEB5DD
112,L,51,CPH/86,FA/86,806,934,386,230.2,1xEB4DD
113,L,51,FA/86,VJ/86,938,951,322,25.7,3xICA
114,L,51,VJ/86,AR/86,953,998,298,82.8,3xICA
117,L,54,AR/86,VJ/86,980,1024,340,82.8,3xICA
118,L,54,VJ/86,FA/86,1026,1041,385,25.7,3xICA
119,L,54,FA/86,CPH/86,1047,1172,393,230.2,1xEB15Talgo
122,L,55,CPH/86,FA/86,866,994,441,230.2,1xEB15Talgo
123,L,55,FA/86,VJ/86,998,1011,379,25.7,3xICA
124,L,55,VJ/86,AR/86,1013,1058,330,82.8,3xICA
127,L,58,AR/86,VJ/86,1040,1084,251,82.8,2xICA
128,L,58,VJ/86,FA/86,1086,1101,280,25.7,2xICA
129,L,58,FA/86,CPH/86,1107,1232,309,230.2,1xEB5DD
132,L,59,CPH/86,FA/86,926,1054,653,230.2,3xERF
133,L,59,FA/86,VJ/86,1058,1071,407,25.7,3xICA
134,L,59,VJ/86,AR/86,1073,1118,355,82.8,3xICA
137,L,62,AR/86,VJ/86,1100,1144,147,82.8,1xICA
138,L,62,VJ/86,FA/86,1146,1161,139,25.7,1xICA
139,L,62,FA/86,CPH/86,1167,1292,205,230.2,1xEB15Talgo
142,L,63,CPH/86,FA/86,986,1114,589,230.2,"1xICA, 2xERF"
143,L,63,FA/86,VJ/86,1118,1131,364,25.7,3xICA
144,L,63,VJ/86,AR/86,1133,1178,337,82.8,3xICA
147,L,66,AR/86,VJ/86,1160,1204,106,82.8,1xICU
148,L,66,VJ/86,FA/86,1206,1221,119,25.7,1xICU
149,L,66,FA/86,CPH/86,1227,1352,182,230.2,1xEB15Talgo
152,L,67,CPH/86,FA/86,1047,1174,380,230.2,1xEB15Talgo
153,L,67,FA/86,VJ/86,1178,1191,270,25.7,2xICA
154,L,67,VJ/86,AR/86,1193,1238,233,82.8,2xICA
157,L,70,AR/86,VJ/86,1220,1264,183,82.8,1xMGA
158,L,70,VJ/86,FA/86,1266,1281,173,25.7,1xMGA
159,L,70,FA/86,CPH/86,1287,1412,170,230.2,1xEB15Talgo
162,L,71,CPH/86,FA/86,1106,1234,232,230.2,1xEB15Talgo
163,L,71,FA/86,VJ/86,1238,1251,208,25.7,2xICA
164,L,71,VJ/86,AR/86,1253,1298,205,82.8,2xICA
167,L,74,AR/86,VJ/86,1280,1324,38,82.8,1xICA
168,L,74,VJ/86,FA/86,1326,1341,15,25.7,1xICA
171,L,75,CPH/86,FA/86,1166,1294,248,230.2,1xEB4DD
172,L,75,FA/86,VJ/86,1298,1311,161,25.7,1xMGA
173,L,75,VJ/86,AR/86,1313,1358,131,82.8,1xMGA
176,L,79,CPH/86,FA/86,1226,1354,308,230.2,1xEB5DD
177,L,79,FA/86,VJ/86,1358,1371,116,25.7,1xICA
178,L,79,VJ/86,AR/86,1373,1418,115,82.8,1xICA
181,IC,100,OD/86,KK/86,249,361,141,163.4,1xERF
184,IC,101,KH/86,FA/86,35,177,115,220.6,1xEB4DD
185,IC,101,FA/86,AR/86,183,248,69,108.5,1xICA
188,IC,104,FA/86,KK/86,296,439,319,223.7,1xEB4DD
191,IC,107,KH/86,FA/86,155,295,53,220.6,1xEB4DD
192,IC,107,FA/86,AR/86,305,365,96,108.5,1xICU
195,IC,112,FA/86,HGL/86,416,565,391,225.8,1xEB5DD
198,IC,113,KH/86,FA/86,230,362,49,220.6,1xEB5DD
201,IC,116,FA/86,HGL/86,476,625,169,225.8,1xERF
204,IC,117,KH/86,FA/86,290,422,107,220.6,1xEB15Talgo
207,IC,120,AR/86,FA/86,470,531,254,108.5,2xICA
208,IC,120,FA/86,KK/86,536,679,146,223.7,1xICA
211,IC,121,KH/86,FA/86,350,482,212,220.6,1xERF
214,IC,124,FA/86,KH/86,596,730,135,220.6,1xERF
217,IC,125,KK/86,FA/86,401,542,305,223.7,2xERF
218,IC,125,FA/86,AR/86,549,608,115,108.5,1xICA
221,IC,128,FA/86,KK/86,656,799,125,223.7,1xEB4DD
224,IC,129,KK/86,FA/86,461,602,252,223.7,1xEB4DD
227,IC,132,FA/86,HGL/86,716,869,165,225.8,1xERF
230,IC,133,HGL/86,FA/86,515,662,151,225.8,1xEB15Talgo
233,IC,136,AR/86,FA/86,710,771,103,108.5,1xICA
234,IC,136,FA/86,HGL/86,776,929,250,225.8,1xEB5DD
237,IC,137,KH/86,FA/86,590,722,85,220.6,1xEB4DD
240,IC,140,FA/86,KK/86,836,979,236,223.7,1xEB15Talgo
243,IC,141,KH/86,FA/86,650,782,121,220.6,1xICA
244,IC,141,FA/86,AR/86,789,848,111,108.5,1xICA
247,IC,144,FA/86,HGL/86,896,1049,262,225.8,1xEB4DD
250,IC,145,KK/86,FA/86,701,842,123,223.7,1xERF
253,IC,148,FA/86,KK/86,956,1099,187,223.7,1xERF
256,IC,149,KK/86,FA/86,761,902,141,223.7,1xICA
259,IC,152,AR/86,FA/86,950,1011,149,108.5,1xICA
260,IC,152,FA/86,KH/86,1016,1150,145,220.6,1xEB4DD
263,IC,153,KK/86,FA/86,821,962,241,223.7,1xEB5DD
266,IC,156,FA/86,KK/86,1076,1219,85,223.7,1xERF
269,IC,157,HGL/86,FA/86,874,1022,465,225.8,1xEB5DD
270,IC,157,FA/86,AR/86,1029,1088,151,108.5,1xICA
273,IC,160,FA/86,KH/86,1136,1270,80,220.6,1xERF
276,IC,161,HGL/86,FA/86,934,1082,519,225.8,1xEB5DD
279,IC,164,FA/86,KH/86,1196,1330,92,220.6,1xEB5DD
282,IC,165,KK/86,FA/86,1001,1142,395,223.7,1xEB15Talgo
285,IC,168,FA/86,KH/86,1256,1390,58,220.6,1xEB4DD
288,IC,172,FA/86,KH/86,1316,1450,61,220.6,1xEB4DD
291,IC,173,KK/86,FA/86,1121,1262,130,223.7,1xICA
294,IC,176,AR/86,FA/86,1310,1371,82,108.5,1xICA
295,IC,176,FA/86,KH/86,1376,1510,68,220.6,1xEB5DD
298,IC,177,HGL/86,FA/86,1174,1322,125,225.8,1xICA
301,IC,181,KH/86,FA/86,1250,1382,166,220.6,1xERF
302,IC,181,FA/86,AR/86,1388,1458,31,108.5,1xICA
305,IC,182,AR/86,FA/86,1370,1431,53,108.5,1xICA
306,IC,182,FA/86,KH/86,1436,1585,84,220.6,1xEB4DD
309,IC,185,KH/86,OD/86,1310,1408,163,160.3,1xERF
312,IC,190,AR/86,FA/86,40,111,35,108.5,1xICA
313,IC,190,FA/86,KH/86,116,265,151,220.6,1xICA
316,IC,191,KH/86,FA/86,1370,1502,340,220.6,1xEB15Talgo
317,IC,191,FA/86,AR/86,1508,1578,170,108.5,1xMGA
320,IC,193,KH/86,OD/86,1430,1528,213,160.3,1xERF
323,RØ,200,RO/86,CPH/86,320,354,60,37.9,1xMGA
326,IC,202,OD/86,CPH/86,307,414,162,166.9,1xERF
329,IC,206,OD/86,CPH/86,369,474,249,166.9,"1xERF, 1xICA"
332,IC,208,OD/86,CPH/86,429,534,238,166.9,2xICA
335,IC,214,OD/86,CPH/86,490,594,143,166.9,1xEB15Talgo
338,RØ,218,SG/86,CPH/86,584,654,70,99.5,1xERF
341,RØ,222,SG/86,CPH/86,644,714,74,99.5,1xERF
344,IC,223,CPH/86,OD/86,365,468,188,166.9,1xEB5DD
347,RØ,226,SG/86,CPH/86,704,774,87,99.5,1xERF
350,IC,227,CPH/86,OD/86,425,530,208,166.9,1xERF
353,RØ,230,SG/86,CPH/86,764,834,74,99.5,1xERF
356,RØ,231,CPH/86,SG/86,485,555,109,99.5,1xERF
359,RØ,234,SG/86,CPH/86,824,894,134,99.5,1xERF
362,RØ,235,CPH/86,SG/86,545,615,72,99.5,1xERF
365,IC,238,OD/86,CPH/86,849,954,218,166.9,1xERF
368,RØ,239,CPH/86,SG/86,605,675,46,99.5,1xERF
371,IC,242,OD/86,CPH/86,909,1014,179,166.9,1xERF
374,RØ,243,CPH/86,SG/86,665,735,42,99.5,1xERF
377,IC,246,OD/86,CPH/86,969,1074,97,166.9,1xERF
380,RØ,247,CPH/86,SG/86,725,795,42,99.5,1xERF
383,IC,250,OD/86,CPH/86,1029,1134,70,166.9,1xEB4DD
386,IC,251,CPH/86,OD/86,785,890,138,166.9,1xERF
389,RØ,254,SG/86,CPH/86,1124,1194,44,99.5,1xERF
392,IC,255,CPH/86,OD/86,845,950,217,166.9,1xERF
395,RØ,258,SG/86,CPH/86,1184,1254,63,99.5,1xERF
398,IC,259,CPH/86,OD/86,905,1010,347,166.9,1xEB4DD
401,RØ,262,SG/86,CPH/86,1244,1314,27,99.5,1xERF
404,IC,263,CPH/86,OD/86,965,1070,248,166.9,2xICA
407,RØ,266,RO/86,CPH/86,1340,1374,12,37.9,"1xERF, 1xICA"
410,RØ,267,CPH/86,SG/86,1025,1095,87,99.5,1xERF
413,RØ,270,RO/86,CPH/86,1400,1434,10,37.9,1xEB15Talgo
416,RØ,271,CPH/86,SG/86,1085,1155,69,99.5,1xERF
419,RØ,274,RO/86,CPH/86,20,54,13,37.9,1xMGA
422,RØ,275,CPH/86,SG/86,1145,1215,44,99.5,1xERF
425,RØ,279,CPH/86,SG/86,1205,1275,64,99.5,1xEB15Talgo
428,RØ,283,CPH/86,RO/86,1265,1299,73,37.9,1xEB5DD
431,RØ,287,CPH/86,RO/86,1325,1359,24,37.9,1xEB15Talgo
434,RØ,291,CPH/86,RO/86,1385,1419,35,37.9,1xMGA
437,RØ,295,CPH/86,RO/86,5,39,9,37.9,1xERF
440,EX,392,HMB/80,KH/86,1130,1417,25,506.1,1xEB4DD
443,EX,393,KH/86,HMB/80,502,786,229,506.1,1xEB4DD
446,EX,394,HMB/80,KH/86,893,1178,232,506.1,1xEB4DD
449,EX,395,KH/86,HMB/80,742,1024,282,506.1,1xEB4DD
452,EX,396,HMB/80,KH/86,653,938,274,506.1,1xEB15Talgo
455,EX,397,KH/86,HMB/80,862,1144,149,506.1,1xEB15Talgo
458,EX,398,HMB/80,KH/86,535,818,243,506.1,1xEB15Talgo
461,EX,399,KH/86,HMB/80,982,1264,201,506.1,1xEB15Talgo
464,IC,412,AR/86,FA/86,350,409,162,108.5,2xICA
467,IC,413,FA/86,AR/86,369,428,167,108.5,1xMGA
470,IC,416,AR/86,FA/86,410,469,239,108.5,2xICA
473,IC,417,FA/86,AR/86,429,488,213,108.5,2xMGA
476,IC,421,FA/86,AR/86,489,548,138,108.5,1xICA
479,IC,424,AR/86,FA/86,530,589,151,108.5,1xICA
482,IC,428,AR/86,FA/86,590,649,69,108.5,1xICA
485,IC,429,FA/86,AR/86,609,668,92,108.5,1xICA
488,IC,432,AR/86,FA/86,650,709,96,108.5,1xICA
491,IC,433,FA/86,AR/86,669,728,119,108.5,1xICA
494,IC,437,FA/86,AR/86,729,788,135,108.5,1xICA
497,IC,440,AR/86,FA/86,770,829,113,108.5,1xICA
500,IC,444,AR/86,FA/86,830,889,230,108.5,2xICA
503,IC,445,FA/86,AR/86,849,908,217,108.5,2xICA
506,IC,448,AR/86,FA/86,890,949,127,108.5,1xICA
509,IC,449,FA/86,AR/86,909,968,286,108.5,2xICA
512,IC,453,FA/86,AR/86,969,1028,231,108.5,2xICA
515,IC,456,AR/86,FA/86,1010,1069,151,108.5,1xICA
518,IC,460,AR/86,FA/86,1070,1129,87,108.5,1xICA
521,IC,461,FA/86,AR/86,1089,1148,128,108.5,1xICA
524,IC,464,AR/86,FA/86,1130,1189,100,108.5,1xICA
527,IC,465,FA/86,AR/86,1149,1208,106,108.5,1xICA
530,IC,468,AR/86,FA/86,1190,1249,52,108.5,1xICA
533,IC,469,FA/86,AR/86,1209,1268,94,108.5,1xICA
536,IC,471,FA/86,AR/86,1269,1328,49,108.5,1xICA
539,IC,474,AR/86,FA/86,1250,1309,95,108.5,1xMGA
542,IC,477,FA/86,AR/86,1329,1400,48,108.5,1xICA
545,IC,484,AR/86,KD/86,1430,1513,27,128.4,1xICA
548,IC,485,FA/86,AR/86,9,80,7,108.5,1xICA
551,L,608,OD/86,KH/86,379,458,368,158.1,"1xERF, 1xICA"
554,L,649,KH/86,FA/86,802,907,50,218.4,1xEB15Talgo
557,L,659,KH/86,FA/86,922,1027,176,218.4,1xERF
560,L,722,STR/86,FA/86,424,554,75,155.4,1xICA
563,L,723,FA/86,STR/86,523,648,67,155.4,1xICA
566,L,731,FA/86,STR/86,643,768,72,155.4,1xICA
569,L,738,STR/86,FA/86,664,794,82,155.4,1xICA
572,L,746,STR/86,FA/86,784,914,124,155.4,1xICA
575,L,747,VJ/86,STR/86,899,1008,76,129.7,1xICA
578,L,762,STR/86,FA/86,1024,1154,52,155.4,1xICA
581,L,763,FA/86,STR/86,1123,1248,97,155.4,1xICA
584,IC,802,OD/86,HGL/86,300,403,246,163.3,2xERF
587,IC,806,ES/86,OD/86,272,352,35,142.3,2xICA
588,IC,806,OD/86,HGL/86,360,463,529,163.3,"1xERF, 2xICA"
591,IC,810,ES/86,OD/86,332,412,141,142.3,1xICA
592,IC,810,OD/86,HGL/86,420,523,558,163.3,"1xICA, 2xERF"
595,IC,814,ES/86,OD/86,392,472,191,142.3,1xERF
596,IC,814,OD/86,HGL/86,480,583,305,163.3,1xEB5DD
599,IC,815,OD/86,ES/86,369,456,88,142.3,1xERF
602,IC,818,ES/86,OD/86,451,532,112,142.3,1xICA
603,IC,818,OD/86,HGL/86,540,643,143,163.3,1xICA
606,IC,819,HGL/86,OD/86,316,420,109,163.3,3xERF
607,IC,819,OD/86,ES/86,429,506,145,142.3,1xERF
610,IC,822,ES/86,OD/86,511,592,74,142.3,1xERF
611,IC,822,OD/86,KK/86,600,697,158,161.2,1xERF
614,IC,823,KK/86,OD/86,383,480,186,161.2,1xERF
615,IC,823,OD/86,ES/86,489,566,137,142.3,1xERF
618,IC,826,ES/86,OD/86,572,652,54,142.3,1xERF
619,IC,826,OD/86,HGL/86,660,763,140,163.3,1xERF
622,IC,827,HGL/86,OD/86,436,540,259,163.3,2xERF
623,IC,827,OD/86,ES/86,549,626,107,142.3,1xERF
626,IC,830,ES/86,OD/86,632,712,98,142.3,1xERF
627,IC,830,OD/86,HGL/86,720,823,155,163.3,1xERF
630,IC,831,HGL/86,OD/86,496,600,155,163.3,1xERF
631,IC,831,OD/86,ES/86,609,686,84,142.3,1xERF
634,IC,834,ES/86,OD/86,692,772,102,142.3,1xERF
635,IC,834,OD/86,HGL/86,780,883,205,163.3,1xERF
638,IC,835,HGL/86,OD/86,556,660,114,163.3,1xERF
639,IC,835,OD/86,ES/86,669,746,74,142.3,1xERF
642,IC,838,ES/86,OD/86,752,832,106,142.3,1xERF
643,IC,838,OD/86,HGL/86,840,943,175,163.3,1xERF
646,IC,839,KK/86,OD/86,623,720,157,161.2,1xEB4DD
647,IC,839,OD/86,ES/86,729,806,104,142.3,1xEB4DD
650,IC,842,ES/86,OD/86,812,892,152,142.3,1xEB4DD
651,IC,842,OD/86,HGL/86,900,1003,242,163.3,1xEB4DD
654,IC,843,HGL/86,OD/86,676,780,157,163.3,1xERF
655,IC,843,OD/86,ES/86,789,866,116,142.3,1xERF
658,IC,846,ES/86,OD/86,872,952,177,142.3,1xERF
659,IC,846,OD/86,HGL/86,960,1063,232,163.3,1xEB5DD
662,IC,847,HGL/86,OD/86,736,840,139,163.3,1xERF
663,IC,847,OD/86,ES/86,849,926,91,142.3,1xERF
666,IC,850,ES/86,OD/86,932,1012,174,142.3,1xERF
667,IC,850,OD/86,HGL/86,1020,1123,165,163.3,1xERF
670,IC,851,HGL/86,OD/86,796,900,189,163.3,1xERF
671,IC,851,OD/86,ES/86,909,986,148,142.3,1xERF
674,IC,854,ES/86,OD/86,992,1072,105,142.3,1xERF
675,IC,854,OD/86,HGL/86,1080,1183,119,163.3,1xERF
678,IC,855,HGL/86,OD/86,856,960,314,163.3,1xEB5DD
679,IC,855,OD/86,ES/86,969,1046,171,142.3,1xERF
682,IC,858,ES/86,OD/86,1052,1132,70,142.3,1xERF
683,IC,858,OD/86,HGL/86,1140,1243,99,163.3,1xERF
686,IC,859,HGL/86,OD/86,916,1020,561,163.3,"1xICA, 2xERF"
687,IC,859,OD/86,ES/86,1029,1106,205,142.3,1xERF
690,IC,862,ES/86,OD/86,1112,1192,32,142.3,1xERF
691,IC,862,OD/86,KK/86,1200,1297,93,161.2,1xEB5DD
694,IC,863,HGL/86,OD/86,976,1080,583,163.3,"1xICA, 2xERF"
695,IC,863,OD/86,ES/86,1089,1166,155,142.3,1xERF
698,IC,866,ES/86,OD/86,1172,1252,46,142.3,1xERF
699,IC,866,OD/86,KK/86,1260,1360,61,161.2,1xERF
702,IC,867,HGL/86,OD/86,1036,1140,372,163.3,1xEB4DD
703,IC,867,OD/86,ES/86,1149,1226,114,142.3,1xEB4DD
706,IC,871,HGL/86,OD/86,1096,1200,158,163.3,1xEB5DD
707,IC,871,OD/86,ES/86,1209,1286,75,142.3,1xERF
710,IC,875,HGL/86,OD/86,1156,1260,174,163.3,1xERF
711,IC,875,OD/86,ES/86,1269,1346,80,142.3,1xERF
714,IC,879,HGL/86,OD/86,1216,1320,191,163.3,1xERF
717,IC,883,HGL/86,OD/86,1276,1380,123,163.3,1xICA
720,L,910,SDB/86,FA/86,284,377,67,136.5,1xERF
723,L,911,FA/86,SDB/86,341,432,13,136.5,1xICA
726,L,918,SDB/86,FA/86,404,497,87,136.5,1xICA
729,L,919,FA/86,SDB/86,461,552,64,136.5,1xICA
732,L,926,SDB/86,FA/86,524,617,87,136.5,1xICA
735,L,927,FA/86,SDB/86,581,672,64,136.5,1xERF
738,L,934,SDB/86,FA/86,644,737,73,136.5,1xICA
741,L,935,FA/86,SDB/86,701,792,63,136.5,1xICA
744,L,942,SDB/86,FA/86,764,857,67,136.5,1xERF
747,L,943,FA/86,SDB/86,821,912,105,136.5,1xICA
750,L,950,SDB/86,FA/86,884,977,78,136.5,1xICA
753,L,951,FA/86,SDB/86,941,1032,111,136.5,1xERF
756,L,958,SDB/86,FA/86,1004,1097,55,136.5,1xICA
759,L,959,FA/86,SDB/86,1061,1152,109,136.5,1xERF
762,L,966,SDB/86,FA/86,1124,1217,32,136.5,1xERF
765,L,967,FA/86,SDB/86,1181,1272,65,136.5,1xERF
768,RR,974,SDB/86,FA/86,1244,1337,17,136.5,1xERF
771,L,975,FA/86,SDB/86,1301,1392,43,136.5,1xICA
774,RR,982,SDB/86,FA/86,1364,1457,2,136.5,1xERF
777,RR,983,FA/86,SDB/86,1436,1527,8,136.5,1xERF
780,EX,1191,KH/86,PA/86,322,477,58,321.6,1xERF
781,EX,1191,PA/86,HMB/80,482,604,0,184.5,1xERF
784,EX,1196,HMB/80,PA/86,712,833,0,184.5,1xERF
785,EX,1196,PA/86,KH/86,843,998,149,321.6,1xERF
788,EX,1198,HMB/80,PA/86,410,534,0,184.5,1xEB15Talgo
789,EX,1198,PA/86,KH/86,543,698,68,321.6,1xEB15Talgo
792,EX,1199,KH/86,PA/86,1102,1257,158,321.6,1xEB15Talgo
793,EX,1199,PA/86,HMB/80,1262,1384,0,184.5,1xEB15Talgo
796,RØ,1204,NF/86,KH/86,338,415,224,144.7,2xICA
799,RØ,1208,NF/86,KH/86,398,475,395,144.7,3xICA
802,RØ,1212,NF/86,KH/86,458,535,258,144.7,2xICA
805,RØ,1216,NF/86,KH/86,518,595,183,144.7,1xMGA
808,RØ,1220,NF/86,KH/86,578,655,100,144.7,1xICA
811,RØ,1221,KH/86,NF/86,364,449,79,144.7,1xICA
814,RØ,1224,NF/86,KH/86,638,715,103,144.7,1xICA
817,RØ,1225,KH/86,NF/86,428,503,165,144.7,1xMGA
820,RØ,1228,NF/86,KH/86,698,775,98,144.7,1xICA
823,RØ,1229,KH/86,NF/86,488,563,128,144.7,1xICA
826,RØ,1232,NF/86,KH/86,758,835,99,144.7,1xICA
829,RØ,1233,KH/86,NF/86,548,623,71,144.7,1xICA
832,RØ,1236,NF/86,KH/86,818,895,120,144.7,1xICA
835,RØ,1237,KH/86,NF/86,608,683,71,144.7,1xICA
838,RØ,1240,NF/86,KH/86,878,955,157,144.7,2xICA
841,RØ,1241,KH/86,NF/86,668,743,67,144.7,1xICA
844,RØ,1244,NF/86,KH/86,938,1015,179,144.7,1xMGA
847,RØ,1245,KH/86,NF/86,728,803,76,144.7,1xICA
850,RØ,1248,NF/86,KH/86,998,1075,104,144.7,1xICA
853,RØ,1249,KH/86,NF/86,788,863,99,144.7,1xICA
856,RØ,1252,NF/86,KH/86,1058,1135,64,144.7,1xICA
859,RØ,1253,KH/86,NF/86,848,923,161,144.7,1xMGA
862,RØ,1256,NF/86,KH/86,1118,1195,51,144.7,1xICA
865,RØ,1257,KH/86,NF/86,908,983,320,144.7,3xICA
868,RØ,1260,NF/86,KH/86,1178,1255,69,144.7,1xICA
871,RØ,1261,KH/86,NF/86,968,1043,417,144.7,3xICA
874,RØ,1264,NF/86,KH/86,1229,1315,77,144.7,1xICA
877,RØ,1265,KH/86,NF/86,1028,1103,240,144.7,2xICA
880,RØ,1268,NF/86,KH/86,1286,1374,44,144.7,1xICA
883,RØ,1269,KH/86,NF/86,1088,1163,138,144.7,1xICA
886,RØ,1272,NF/86,KH/86,1346,1434,21,144.7,1xICA
889,RØ,1273,KH/86,NF/86,1148,1223,88,144.7,1xICA
892,RØ,1276,NF/86,KH/86,1406,1494,10,144.7,1xICA
895,RØ,1277,KH/86,NF/86,1207,1291,94,144.7,1xICA
898,RØ,1281,KH/86,NF/86,1267,1351,99,144.7,1xICA
901,RØ,1285,KH/86,NF/86,1327,1415,87,144.7,1xICA
904,RØ,1289,KH/86,NF/86,1387,1475,117,144.7,1xICA
907,IC,1401,CPH/86,KH/86,12,25,74,11.8,1xEB15Talgo
910,IC,1407,CPH/86,KH/86,132,145,15,11.8,1xMGA
913,IC,1413,CPH/86,KH/86,206,219,4,11.8,1xEB15Talgo
916,IC,1417,CPH/86,KH/86,266,279,263,11.8,2xERF
919,IC,1472,KH/86,CPH/86,19,32,3,11.8,1xEB5DD
922,IC,1476,KH/86,CPH/86,79,92,22,11.8,1xERF
925,IC,1482,KH/86,CPH/86,163,177,38,11.8,1xEB5DD
928,IC,1485,CPH/86,KH/86,1286,1300,46,11.8,1xERF
931,IC,1489,CPH/86,KH/86,1346,1360,53,11.8,1xERF
934,IC,1490,KH/86,CPH/86,279,292,132,11.8,1xEB4DD
937,IC,1493,CPH/86,KH/86,1406,1420,59,11.8,1xICA
940,RØ,1500,KB/86,KK/86,270,376,115,113.7,1xICA
943,RØ,1504,KB/86,KK/86,337,427,182,113.7,1xMGA
946,RØ,1508,KB/86,HGL/86,397,493,402,115.8,2xMGA
949,RØ,1512,KB/86,KK/86,457,547,242,113.7,2xMGA
952,RØ,1516,KB/86,KK/86,517,607,183,113.7,1xMGA
955,RØ,1517,KK/86,KB/86,293,385,51,113.7,1xMGA
958,RØ,1520,KB/86,KK/86,577,667,99,113.7,1xICA
961,RØ,1521,HGL/86,KB/86,347,445,151,115.8,1xMGA
964,RØ,1524,KB/86,KK/86,637,727,129,113.7,1xICA
967,RØ,1525,KK/86,KB/86,413,505,219,113.7,2xICA
970,RØ,1528,KB/86,KK/86,697,787,102,113.7,1xICA
973,RØ,1529,KK/86,KB/86,473,565,166,113.7,1xMGA
976,RØ,1532,KB/86,KK/86,757,847,142,113.7,1xICA
