TrainCategory,TrainId,Route
RV,2917,"FA/86, AR/86"
RØ,4454,"NÆ/86, KK/86"
RØ,266,"RO/86, CPH/86"
IC,137,"KH/86, FA/86"
IC,113,"KH/86, FA/86"
RØ,2237,"HG/86, NÆ/86"
L,4039,"AR/86, ABL/86"
IC,453,"FA/86, AR/86"
RØ,4238,"NÆ/86, HG/86"
EX,397,"KH/86, HMB/80"
RØ,2551,"HG/86, HK/86"
IC,831,"HGL/86, OD/86, ES/86"
IC,421,"FA/86, AR/86"
L,4043,"AR/86, ABL/86"
RØ,4860,"NF/86, NÆ/86"
RØ,1587,"KK/86, KB/86"
RV,2924,"AR/86, FA/86"
IC,4180,"AB/86, AR/86"
RØ,1264,"NF/86, KH/86"
IC,834,"ES/86, OD/86, HGL/86"
RØ,4895,"KH/86, NF/86"
RV,2928,"AR/86, FA/86"
RØ,1252,"NF/86, KH/86"
IC,4161,"AR/86, ABL/86"
RØ,3450,"KH/86, HG/86"
RV,2760,"FA/86, OD/86"
IC,259,"CPH/86, OD/86"
RØ,4243,"HG/86, NÆ/86"
IC,866,"ES/86, OD/86, KK/86"
RØ,4836,"NF/86, NÆ/86"
L,47,"CPH/86, FA/86, VJ/86, AR/86"
IC,1417,"CPH/86, KH/86"
IC,4124,"ABL/86, AR/86"
RØ,4861,"NÆ/86, NF/86"
RØ,1529,"KK/86, KB/86"
M,9702,"CPH/86, HGL/86"
M,9301,"KH/86, CPH/86"
RØ,2440,"NÆ/86, KH/86"
RV,3918,"AR/86, FA/86"
RØ,1516,"KB/86, KK/86"
RV,2341,"ES/86, FA/86"
RØ,1564,"KB/86, KK/86"
IC,871,"HGL/86, OD/86, ES/86"
RØ,2424,"NÆ/86, KH/86"
M,940387,"AA/80, HMB/80"
RØ,2299,"KH/86, NÆ/86"
RØ,1517,"KK/86, KB/86"
RØ,2085,"HG/86, KH/86"
RØ,2287,"HG/86, NÆ/86"
RØ,295,"CPH/86, RO/86"
RV,2777,"OD/86, FA/86"
RØ,2256,"NÆ/86, HG/86"
L,39,"CPH/86, FA/86, VJ/86, AR/86"
L,4047,"AR/86, ABL/86"
RV,2948,"AR/86, FA/86"
RV,2973,"FA/86, AR/86"
RØ,3438,"KH/86, HG/86"
RØ,1536,"KB/86, KK/86"
RR,3408,"KH/86, HG/86"
IC,4137,"AR/86, ABL/86"
L,4070,"ABL/86, AR/86"
RØ,2463,"KH/86, NÆ/86"
RØ,3434,"KH/86, HG/86"
L,763,"FA/86, STR/86"
RØ,1540,"KB/86, KK/86"
RØ,4532,"HK/86, HG/86"
IC,810,"ES/86, OD/86, HGL/86"
IC,477,"FA/86, AR/86"
IC,2317,"ES/86, FA/86"
RØ,1570,"KB/86, KH/86"
RØ,2526,"HK/86, HG/86"
IC,104,"FA/86, KK/86"
RØ,1257,"KH/86, NF/86"
RØ,1289,"KH/86, NF/86"
IC,4178,"ABL/86, AB/86"
L,911,"FA/86, SDB/86"
RV,3919,"FA/86, AR/86"
RV,2715,"OD/86, FA/86"
IC,255,"CPH/86, OD/86"
L,79,"CPH/86, FA/86, VJ/86, AR/86"
RØ,4504,"HK/86, HG/86"
RØ,4231,"HG/86, NÆ/86"
RØ,4445,"KK/86, NÆ/86"
RØ,3502,"KB/86, KK/86"
RV,2965,"FA/86, AR/86"
RØ,2456,"NÆ/86, KK/86"
RV,2921,"FA/86, AR/86"
RØ,2204,"NÆ/86, HG/86"
IC,859,"HGL/86, OD/86, ES/86"
RØ,4873,"NÆ/86, NF/86"
RØ,1261,"KH/86, NF/86"
RØ,4520,"HK/86, HG/86"
EX,399,"KH/86, HMB/80"
RØ,2261,"HG/86, NÆ/86"
IC,4152,"ABL/86, AR/86"
RØ,2543,"HG/86, HK/86"
RV,4769,"OD/86, FA/86"
RV,2751,"OD/86, FA/86"
RØ,1553,"KK/86, KB/86"
RØ,1549,"KK/86, KB/86"
M,9163,"RO/86, NÆ/86"
M,9111,"NÆ/86, VO/86"
RØ,4557,"HG/86, HK/86"
RØ,3563,"KK/86, KB/86"
RØ,1521,"HGL/86, KB/86"
RØ,2476,"NÆ/86, HGL/86"
RØ,3473,"HG/86, KH/86"
L,762,"STR/86, FA/86"
RØ,1276,"NF/86, KH/86"
L,51,"CPH/86, FA/86, VJ/86, AR/86"
RØ,1569,"KK/86, KB/86"
RV,2945,"FA/86, AR/86"
RØ,2523,"HGL/86, HK/86"
RØ,1245,"KH/86, NF/86"
RØ,1561,"KK/86, KB/86"
RV,4169,"AB/86, ABL/86"
RØ,200,"RO/86, CPH/86"
RØ,4250,"NÆ/86, HG/86"
L,31,"CPH/86, FA/86, VJ/86, AR/86"
IC,879,"HGL/86, OD/86"
RØ,4540,"HK/86, HG/86"
L,4023,"AR/86, ABL/86"
L,958,"SDB/86, FA/86"
RØ,2408,"NÆ/86, KH/86"
RØ,4246,"NÆ/86, HG/86"
RV,2980,"AR/86, FA/86"
IC,815,"OD/86, ES/86"
IC,2360,"FA/86, ES/86"
M,9303,"KH/86, CPH/86"
L,71,"CPH/86, FA/86, VJ/86, AR/86"
IC,413,"FA/86, AR/86"
RØ,3437,"HG/86, KH/86"
L,4059,"AR/86, AB/86"
IC,2364,"FA/86, ES/86"
RØ,2518,"HK/86, HG/86"
L,4015,"AR/86, ABL/86"
IC,4101,"AR/86, ABL/86"
IC,4132,"ABL/86, AR/86"
L,608,"OD/86, KH/86"
RØ,3433,"HG/86, KH/86"
IC,444,"AR/86, FA/86"
IC,851,"HGL/86, OD/86, ES/86"
RØ,1524,"KB/86, KK/86"
RØ,4853,"NÆ/86, NF/86"
RØ,4406,"NÆ/86, KH/86"
IC,2324,"FA/86, ES/86"
RV,2937,"FA/86, AR/86"
IC,4160,"ABL/86, AR/86"
RØ,4442,"NÆ/86, KH/86"
M,9017,"HGL/86, RO/86"
IC,250,"OD/86, CPH/86"
RØ,2216,"NÆ/86, HG/86"
IC,4171,"AR/86, AB/86"
RØ,4270,"KH/86, HG/86"
RØ,4848,"NF/86, NÆ/86"
IC,424,"AR/86, FA/86"
RØ,4469,"KH/86, NÆ/86"
L,975,"FA/86, SDB/86"
RØ,2212,"NÆ/86, HG/86"
RV,2944,"AR/86, FA/86"
L,4030,"ABL/86, AR/86"
IC,2313,"ES/86, FA/86"
IC,437,"FA/86, AR/86"
RØ,283,"CPH/86, RO/86"
RV,4003,"AB/86, ABL/86"
IC,806,"ES/86, OD/86, HGL/86"
IC,445,"FA/86, AR/86"
RV,2968,"AR/86, FA/86"
IC,440,"AR/86, FA/86"
IC,4157,"AR/86, ABL/86"
IC,5766,"FLB/80, FA/86"
RØ,4210,"NÆ/86, HG/86"
