TrainCategory,TrainId,Route
L,6,"AR/86, VJ/86, FA/86, CPH/86"
IC,814,"ES/86, OD/86, HGL/86"
RV,2352,"FA/86, ES/86"
L,910,"SDB/86, FA/86"
L,934,"SDB/86, FA/86"
L,54,"AR/86, VJ/86, FA/86, CPH/86"
L,919,"FA/86, SDB/86"
RØ,1256,"NF/86, KH/86"
RØ,3427,"HG/86, KH/86"
RØ,1260,"NF/86, KH/86"
IC,1482,"KH/86, CPH/86"
RØ,4446,"NÆ/86, KH/86"
EX,393,"KH/86, HMB/80"
RØ,4589,"HG/86, KH/86"
M,9795,"HGL/86, KH/86"
IC,4149,"AR/86, ABL/86"
RØ,1533,"KK/86, KB/86"
RØ,4804,"NF/86, NÆ/86"
RØ,1583,"KK/86, KB/86"
IC,819,"HGL/86, OD/86, ES/86"
RØ,2539,"HG/86, HK/86"
IC,4117,"AR/86, ABL/86"
RØ,2510,"HK/86, HG/86"
IC,5750,"FLB/80, FA/86"
RØ,4521,"KK/86, HK/86"
IC,5755,"FA/86, FLB/80"
IC,456,"AR/86, FA/86"
IC,80169,"HGL/86, FA/86"
IC,263,"CPH/86, OD/86"
L,4027,"AR/86, ABL/86"
IC,4175,"AR/86, AB/86"
RØ,4235,"HG/86, NÆ/86"
M,9362,"CPH/86, KH/86"
RØ,4856,"NF/86, NÆ/86"
M,9113,"VO/86, NF/86"
IC,843,"HGL/86, OD/86, ES/86"
RØ,4226,"NÆ/86, HG/86"
RØ,1528,"KB/86, KK/86"
M,12395,"HGL/86, KH/86"
RØ,247,"CPH/86, SG/86"
IC,2348,"FA/86, ES/86"
RØ,2217,"KH/86, NÆ/86"
M,12393,"HGL/86, KH/86"
RV,2933,"FA/86, AR/86"
RØ,3469,"HG/86, KH/86"
RØ,2093,"HG/86, KH/86"
IC,883,"HGL/86, OD/86"
RØ,2220,"NÆ/86, HG/86"
IC,140,"FA/86, KK/86"
L,738,"STR/86, FA/86"
IC,2312,"FA/86, ES/86"
RV,2336,"FA/86, ES/86"
RØ,4433,"KH/86, NÆ/86"
RV,2916,"AR/86, FA/86"
RØ,3444,"KH/86, HG/86"
RV,2929,"FA/86, AR/86"
RØ,4525,"HG/86, HK/86"
RØ,2555,"HG/86, HK/86"
IC,2356,"FA/86, ES/86"
RV,4729,"OD/86, FA/86"
IC,133,"HGL/86, FA/86"
L,918,"SDB/86, FA/86"
RØ,4430,"NÆ/86, KK/86"
RØ,4533,"HG/86, HK/86"
L,55,"CPH/86, FA/86, VJ/86, AR/86"
RØ,3406,"KH/86, HG/86"
RØ,2219,"HG/86, KH/86"
RØ,2467,"KH/86, NÆ/86"
RØ,4465,"KH/86, NÆ/86"
RV,2952,"AR/86, FA/86"
RØ,4840,"NF/86, NÆ/86"
IC,432,"AR/86, FA/86"
L,46,"AR/86, VJ/86, FA/86, CPH/86"
IC,2349,"ES/86, FA/86"
RØ,1228,"NF/86, KH/86"
IC,4121,"AR/86, ABL/86"
RØ,4541,"HG/86, HK/86"
M,12191,"HGL/86, KH/86"
IC,464,"AR/86, FA/86"
RV,2957,"FA/86, AR/86"
RV,4724,"FA/86, OD/86"
RØ,4812,"NF/86, NÆ/86"
IC,5758,"FLB/80, FA/86"
