TripId,TrainCategory,TrainId,FromStation,ToStation,Departure,Arrival,Demand,Composition
1078,RØ,2212,NÆ/86,HG/86,478,602,203,1xERF
1081,RØ,2216,NÆ/86,HG/86,538,662,199,1xEB5DD
1084,RØ,2217,KH/86,NÆ/86,296,362,36,1xEB4DD
1087,RØ,2219,HG/86,KH/86,298,353,57,1xERF
1090,RØ,2220,NÆ/86,HG/86,598,722,82,1xEB4DD
1093,RØ,2221,KH/86,NÆ/86,356,422,55,1xEB4DD
1096,RØ,2224,NÆ/86,HG/86,658,782,106,1xEB5DD
1099,RØ,2225,HG/86,NÆ/86,358,482,192,1xERF
1102,RØ,2228,NÆ/86,HG/86,718,842,113,1xEB4DD
1105,RØ,2229,HG/86,NÆ/86,418,542,398,1xEB4DD
1108,RØ,2232,NÆ/86,HG/86,778,902,143,1xERF
1111,RØ,2233,HG/86,NÆ/86,478,602,377,1xEB4DD
1114,RØ,2236,NÆ/86,HG/86,838,962,323,1xEB4DD
1117,RØ,2237,HG/86,NÆ/86,538,662,99,1xEB5DD
1120,RØ,2240,NÆ/86,HG/86,898,1022,415,1xEB15Talgo
1123,RØ,2241,HG/86,NÆ/86,598,722,106,1xEB4DD
1126,RØ,2244,NÆ/86,HG/86,958,1082,319,1xEB4DD
1129,RØ,2245,HG/86,NÆ/86,658,782,110,1xEB15Talgo
1132,RØ,2248,NÆ/86,HG/86,1018,1142,109,1xERF
1135,RØ,2249,HG/86,NÆ/86,718,842,109,1xEB5DD
1138,RØ,2252,NÆ/86,HG/86,1078,1202,89,1xEB15Talgo
1141,RØ,2253,HG/86,NÆ/86,778,902,197,1xERF
1144,RØ,2256,NÆ/86,HG/86,1138,1262,104,1xEB5DD
1147,RØ,2257,HG/86,NÆ/86,838,962,305,1xEB5DD
1150,RØ,2260,NÆ/86,HG/86,1198,1322,88,1xEB4DD
1153,RØ,2261,HG/86,NÆ/86,898,1022,437,1xEB5DD
1156,RØ,2264,NÆ/86,HG/86,1258,1382,125,1xEB4DD
1159,RØ,2265,HG/86,NÆ/86,958,1082,340,1xEB5DD
1162,RØ,2268,NÆ/86,HG/86,1318,1442,94,1xEB5DD
1165,RØ,2269,HG/86,NÆ/86,1018,1142,155,1xERF
1168,RØ,2270,NÆ/86,KH/86,1365,1430,20,1xERF
1171,RØ,2272,KH/86,HG/86,7,62,29,1xICA
1174,RØ,2273,HG/86,NÆ/86,1078,1202,98,1xEB5DD
1177,RØ,2277,HG/86,NÆ/86,1138,1262,95,1xEB5DD
1180,RØ,2281,HG/86,NÆ/86,1198,1322,87,1xEB4DD
1183,RØ,2287,HG/86,NÆ/86,1273,1396,184,1xEB4DD
1186,RØ,2291,KH/86,NÆ/86,1390,1454,102,1xEB4DD
1189,RØ,2297,HG/86,KH/86,1438,1493,2,1xEB4DD
1192,RØ,2299,KH/86,NÆ/86,70,134,28,1xEB4DD
1195,IC,2304,FA/86,ES/86,307,370,19,1xERF
1198,IC,2308,FA/86,ES/86,367,430,44,1xERF
1201,IC,2312,FA/86,ES/86,411,474,81,1xICA
1204,IC,2313,ES/86,FA/86,303,367,49,1xERF
1207,IC,2316,FA/86,ES/86,471,534,132,1xICA
1210,IC,2317,ES/86,FA/86,362,427,86,1xICA
1213,RV,2320,FA/86,ES/86,531,594,37,1xERF
1216,IC,2321,ES/86,FA/86,422,487,67,1xICA
1219,IC,2324,FA/86,ES/86,591,654,100,1xERF
1222,RV,2325,ES/86,FA/86,484,549,54,1xERF
1225,IC,2328,FA/86,ES/86,651,714,37,1xERF
1228,IC,2329,ES/86,FA/86,543,607,30,1xICA
1231,IC,2332,FA/86,ES/86,711,774,82,1xERF
1234,IC,2333,ES/86,FA/86,603,667,59,1xERF
1237,RV,2336,FA/86,ES/86,771,834,43,1xICA
1240,IC,2337,ES/86,FA/86,663,727,69,1xERF
1243,IC,2340,FA/86,ES/86,831,894,108,1xERF
1246,RV,2341,ES/86,FA/86,724,789,26,1xERF
1249,IC,2344,FA/86,ES/86,891,954,124,1xICA
1252,IC,2345,ES/86,FA/86,783,847,82,1xERF
1255,IC,2348,FA/86,ES/86,951,1014,109,1xERF
1258,IC,2349,ES/86,FA/86,843,907,88,1xICA
1261,RV,2352,FA/86,ES/86,1011,1074,55,1xERF
1264,IC,2353,ES/86,FA/86,903,967,147,1xERF
1267,IC,2356,FA/86,ES/86,1071,1134,82,1xERF
1270,RV,2357,ES/86,FA/86,964,1029,146,1xICA
1273,IC,2360,FA/86,ES/86,1131,1194,44,1xERF
1276,IC,2361,ES/86,FA/86,1023,1087,72,1xERF
1279,IC,2364,FA/86,ES/86,1191,1254,73,1xICA
1282,IC,2365,ES/86,FA/86,1083,1147,46,1xERF
1285,IC,2368,FA/86,ES/86,1251,1314,55,1xICA
1288,IC,2369,ES/86,FA/86,1143,1207,55,1xERF
